Date,Sales
2010-06-14,93.85
2010-06-15,67.63
2010-06-16,62.34
2010-06-17,81.71
2010-06-18,64.6
2010-06-19,71.99
2010-06-20,73.2
2010-06-21,62.86
2010-06-22,55.96
2010-06-23,50.78
2010-06-24,53.05
2010-06-25,76.31
2010-06-26,79.1
2010-06-27,103.93
2010-06-28,66.71
2010-06-29,93.49
2010-06-30,50.61
2010-07-01,31.59
2010-07-02,43.38
2010-07-03,81.68
2010-07-04,74.32
2010-07-05,76.92
2010-07-06,55.31
2010-07-07,35.67
2010-07-08,27.28
2010-07-09,32.26
2010-07-10,63.29
2010-07-11,86.06
2010-07-12,64.98
2010-07-13,25.1
2010-07-14,34.93
2010-07-15,41.35
2010-07-16,37.33
2010-07-17,67.91
2010-07-18,69.73
2010-07-19,40.28
2010-07-20,44.82
2010-07-21,36.44
2010-07-22,47.53
2010-07-23,62.13
2010-07-24,40.71
2010-07-25,50.57
2010-07-26,60.96
2010-07-27,43.01
2010-07-28,31.63
2010-07-29,84.99
2010-07-30,50.83
2010-07-31,74.38
2010-08-01,74.96
2010-08-02,59.05
2010-08-03,26.65
2010-08-04,31.41
2010-08-05,11.76
2010-08-06,34.92
2010-08-07,46.31
2010-08-08,58.17
2010-08-09,80.33
2010-08-10,0.0
2010-08-11,26.75
2010-08-12,0.0
2010-08-13,27.92
2010-08-14,66.5
2010-08-15,54.53
2010-08-16,26.13
2010-08-17,13.77
2010-08-18,23.44
2010-08-19,5.73
2010-08-20,35.15
2010-08-21,47.82
2010-08-22,40.82
2010-08-23,71.54
2010-08-24,31.16
2010-08-25,0.0
2010-08-26,16.75
2010-08-27,19.31
2010-08-28,57.32
2010-08-29,36.18
2010-08-30,35.2
2010-08-31,26.83
2010-09-01,21.11
2010-09-02,0.0
2010-09-03,22.03
2010-09-04,35.29
2010-09-05,36.22
2010-09-06,61.43
2010-09-07,23.43
2010-09-08,0.0
2010-09-09,23.71
2010-09-10,57.21
2010-09-11,56.3
2010-09-12,21.7
2010-09-13,26.23
2010-09-14,34.98
2010-09-15,0.0
2010-09-16,15.38
2010-09-17,35.85
2010-09-18,25.85
2010-09-19,42.62
2010-09-20,0.0
2010-09-21,0.0
2010-09-22,0.48
2010-09-23,0.0
2010-09-24,48.14
2010-09-25,17.81
2010-09-26,36.5
2010-09-27,34.23
2010-09-28,36.53
2010-09-29,0.0
2010-09-30,25.43
2010-10-01,23.81
2010-10-02,24.62
2010-10-03,50.19
2010-10-04,35.5
2010-10-05,6.23
2010-10-06,5.56
2010-10-07,2.7
2010-10-08,25.94
2010-10-09,49.93
2010-10-10,67.79
2010-10-11,14.77
2010-10-12,48.14
2010-10-13,0.0
2010-10-14,7.28
2010-10-15,34.21
2010-10-16,45.45
2010-10-17,35.98
2010-10-18,31.61
2010-10-19,10.23
2010-10-20,0.0
2010-10-21,23.94
2010-10-22,32.46
2010-10-23,32.64
2010-10-24,60.69
2010-10-25,41.3
2010-10-26,31.85
2010-10-27,18.62
2010-10-28,0.95
2010-10-29,20.97
2010-10-30,56.59
2010-10-31,58.77
2010-11-01,38.87
2010-11-02,23.98
2010-11-03,30.98
2010-11-04,7.22
2010-11-05,40.36
2010-11-06,45.2
2010-11-07,49.27
2010-11-08,58.66
2010-11-09,37.67
2010-11-10,27.15
2010-11-11,38.87
2010-11-12,35.74
2010-11-13,61.79
2010-11-14,51.28
2010-11-15,50.5
2010-11-16,26.86
2010-11-17,19.98
2010-11-18,31.86
2010-11-19,26.85
2010-11-20,86.71
2010-11-21,44.67
2010-11-22,31.3
2010-11-23,50.12
2010-11-24,34.39
2010-11-25,36.34
2010-11-26,52.65
2010-11-27,59.29
2010-11-28,50.5
2010-11-29,54.9
2010-11-30,26.88
2010-12-01,41.48
2010-12-02,29.16
2010-12-03,35.27
2010-12-04,59.13
2010-12-05,74.67
2010-12-06,49.86
2010-12-07,29.3
2010-12-08,35.15
2010-12-09,39.71
2010-12-10,44.76
2010-12-11,61.63
2010-12-12,76.73
2010-12-13,41.41
2010-12-14,25.37
2010-12-15,25.59
2010-12-16,37.74
2010-12-17,61.95
2010-12-18,95.77
2010-12-19,91.09
2010-12-20,65.73
2010-12-21,51.21
2010-12-22,26.37
2010-12-23,45.72
2010-12-24,58.03
2010-12-25,83.57
2010-12-26,70.92
2010-12-27,81.03
2010-12-28,79.61
2010-12-29,44.91
2010-12-30,57.17
2010-12-31,77.87
2011-01-01,77.87
2011-01-02,91.85
2011-01-03,78.6
2011-01-04,63.26
2011-01-05,40.11
2011-01-06,56.67
2011-01-07,80.15
2011-01-08,110.82
2011-01-09,108.03
2011-01-10,115.85
2011-01-11,55.42
2011-01-12,69.92
2011-01-13,64.17
2011-01-14,110.63
2011-01-15,82.01
2011-01-16,86.12
2011-01-17,79.62
2011-01-18,40.11
2011-01-19,53.97
2011-01-20,55.03
2011-01-21,85.01
2011-01-22,104.21
2011-01-23,131.78
2011-01-24,107.76
2011-01-25,68.18
2011-01-26,53.22
2011-01-27,78.61
2011-01-28,67.73
2011-01-29,131.3
2011-01-30,126.04
2011-01-31,91.15
2011-02-01,55.78
2011-02-02,91.6
2011-02-03,74.07
2011-02-04,110.62
2011-02-05,84.39
2011-02-06,103.79
2011-02-07,102.65
2011-02-08,86.52
2011-02-09,68.84
2011-02-10,89.38
2011-02-11,80.23
2011-02-12,110.32
2011-02-13,118.68
2011-02-14,114.33
2011-02-15,100.48
2011-02-16,62.65
2011-02-17,60.9
2011-02-18,119.24
2011-02-19,121.2
2011-02-20,109.36
2011-02-21,133.53
2011-02-22,95.12
2011-02-23,100.73
2011-02-24,88.38
2011-02-25,134.38
2011-02-26,145.88
2011-02-27,120.12
2011-02-28,128.03
2011-03-01,106.2
2011-03-02,106.64
2011-03-03,75.89
2011-03-04,116.68
2011-03-05,138.28
2011-03-06,100.25
2011-03-07,98.42
2011-03-08,68.57
2011-03-09,84.63
2011-03-10,103.62
2011-03-11,131.34
2011-03-12,125.86
2011-03-13,153.33
2011-03-14,97.65
2011-03-15,75.72
2011-03-16,89.87
2011-03-17,100.57
2011-03-18,110.19
2011-03-19,95.53
2011-03-20,129.28
2011-03-21,100.43
2011-03-22,112.87
2011-03-23,97.68
2011-03-24,82.11
2011-03-25,104.29
2011-03-26,111.89
2011-03-27,130.83
2011-03-28,135.4
2011-03-29,89.03
2011-03-30,100.65
2011-03-31,89.08
2011-04-01,100.85
2011-04-02,126.84
2011-04-03,116.82
2011-04-04,113.26
2011-04-05,86.26
2011-04-06,122.89
2011-04-07,97.81
2011-04-08,102.41
2011-04-09,131.73
2011-04-10,130.66
2011-04-11,118.16
2011-04-12,113.28
2011-04-13,104.54
2011-04-14,89.0
2011-04-15,103.86
2011-04-16,123.9
2011-04-17,97.24
2011-04-18,98.09
2011-04-19,123.83
2011-04-20,117.03
2011-04-21,92.32
2011-04-22,120.16
2011-04-23,131.64
2011-04-24,176.82
2011-04-25,136.4
2011-04-26,100.11
2011-04-27,76.65
2011-04-28,70.51
2011-04-29,113.04
2011-04-30,114.02
2011-05-01,107.62
2011-05-02,108.15
2011-05-03,83.98
2011-05-04,114.39
2011-05-05,105.85
2011-05-06,107.82
2011-05-07,145.44
2011-05-08,127.93
2011-05-09,102.67
2011-05-10,120.72
2011-05-11,94.77
2011-05-12,74.61
2011-05-13,102.56
2011-05-14,107.51
2011-05-15,103.36
2011-05-16,126.76
2011-05-17,123.73
2011-05-18,62.85
2011-05-19,95.69
2011-05-20,92.68
2011-05-21,110.31
2011-05-22,112.12
2011-05-23,96.76
2011-05-24,92.61
2011-05-25,68.1
2011-05-26,87.99
2011-05-27,98.31
2011-05-28,110.61
2011-05-29,103.92
2011-05-30,97.54
2011-05-31,99.64
2011-06-01,84.46
2011-06-02,65.6
2011-06-03,96.85
2011-06-04,121.71
2011-06-05,88.7
2011-06-06,110.5
2011-06-07,74.49
2011-06-08,81.59
2011-06-09,64.86
2011-06-10,64.29
2011-06-11,82.0
2011-06-12,110.4
2011-06-13,102.16
2011-06-14,66.74
2011-06-15,78.45
2011-06-16,47.21
2011-06-17,86.16
2011-06-18,84.01
2011-06-19,95.64
2011-06-20,94.68
2011-06-21,63.09
2011-06-22,58.78
2011-06-23,82.88
2011-06-24,74.13
2011-06-25,110.33
2011-06-26,84.07
2011-06-27,97.51
2011-06-28,93.2
2011-06-29,23.04
2011-06-30,51.39
2011-07-01,86.99
2011-07-02,90.29
2011-07-03,102.13
2011-07-04,76.04
2011-07-05,68.41
2011-07-06,53.31
2011-07-07,76.39
2011-07-08,77.69
2011-07-09,93.94
2011-07-10,85.93
2011-07-11,73.34
2011-07-12,56.18
2011-07-13,57.13
2011-07-14,48.14
2011-07-15,73.81
2011-07-16,115.61
2011-07-17,100.79
2011-07-18,71.4
2011-07-19,76.34
2011-07-20,40.77
2011-07-21,19.57
2011-07-22,50.06
2011-07-23,52.16
2011-07-24,78.21
2011-07-25,72.35
2011-07-26,79.28
2011-07-27,47.64
2011-07-28,42.73
2011-07-29,73.53
2011-07-30,42.99
2011-07-31,82.99
2011-08-01,79.65
2011-08-02,28.0
2011-08-03,55.97
2011-08-04,47.22
2011-08-05,51.02
2011-08-06,81.85
2011-08-07,109.76
2011-08-08,67.1
2011-08-09,50.24
2011-08-10,28.31
2011-08-11,25.82
2011-08-12,66.18
2011-08-13,56.05
2011-08-14,73.36
2011-08-15,53.84
2011-08-16,50.38
2011-08-17,36.94
2011-08-18,50.93
2011-08-19,42.92
2011-08-20,61.75
2011-08-21,54.57
2011-08-22,51.36
2011-08-23,45.94
2011-08-24,40.44
2011-08-25,18.74
2011-08-26,60.89
2011-08-27,83.47
2011-08-28,72.85
2011-08-29,83.65
2011-08-30,26.21
2011-08-31,8.01
2011-09-01,3.56
2011-09-02,68.03
2011-09-03,70.76
2011-09-04,63.7
2011-09-05,57.65
2011-09-06,18.96
2011-09-07,61.47
2011-09-08,30.35
2011-09-09,45.48
2011-09-10,70.15
2011-09-11,70.14
2011-09-12,55.28
2011-09-13,22.54
2011-09-14,30.48
2011-09-15,55.35
2011-09-16,62.8
2011-09-17,82.02
2011-09-18,54.2
2011-09-19,36.1
2011-09-20,31.61
2011-09-21,23.43
2011-09-22,42.79
2011-09-23,16.57
2011-09-24,80.49
2011-09-25,59.0
2011-09-26,44.13
2011-09-27,17.98
2011-09-28,0.0
2011-09-29,38.56
2011-09-30,42.97
2011-10-01,38.2
2011-10-02,42.03
2011-10-03,45.66
2011-10-04,58.44
2011-10-05,18.78
2011-10-06,4.08
2011-10-07,38.68
2011-10-08,54.03
2011-10-09,21.66
2011-10-10,50.62
2011-10-11,30.77
2011-10-12,34.02
2011-10-13,55.35
2011-10-14,60.34
2011-10-15,55.25
2011-10-16,46.75
2011-10-17,91.36
2011-10-18,36.52
2011-10-19,25.27
2011-10-20,28.82
2011-10-21,48.05
2011-10-22,58.83
2011-10-23,56.55
2011-10-24,46.43
2011-10-25,37.1
2011-10-26,18.94
2011-10-27,20.6
2011-10-28,48.87
2011-10-29,59.44
2011-10-30,90.05
2011-10-31,17.28
2011-11-01,56.45
2011-11-02,48.35
2011-11-03,2.83
2011-11-04,44.84
2011-11-05,60.47
2011-11-06,49.23
2011-11-07,48.31
2011-11-08,26.42
2011-11-09,59.0
2011-11-10,51.09
2011-11-11,72.25
2011-11-12,80.14
2011-11-13,56.74
2011-11-14,55.5
2011-11-15,53.87
2011-11-16,17.91
2011-11-17,51.34
2011-11-18,53.22
2011-11-19,67.39
2011-11-20,88.1
2011-11-21,73.85
2011-11-22,45.0
2011-11-23,57.57
2011-11-24,28.42
2011-11-25,70.11
2011-11-26,86.01
2011-11-27,76.94
2011-11-28,76.28
2011-11-29,35.89
2011-11-30,58.33
2011-12-01,46.2
2011-12-02,57.42
2011-12-03,97.28
2011-12-04,75.5
2011-12-05,54.78
2011-12-06,35.87
2011-12-07,58.16
2011-12-08,34.4
2011-12-09,96.25
2011-12-10,55.03
2011-12-11,116.26
2011-12-12,83.85
2011-12-13,62.58
2011-12-14,45.74
2011-12-15,64.47
2011-12-16,74.26
2011-12-17,107.73
2011-12-18,97.47
2011-12-19,87.91
2011-12-20,63.57
2011-12-21,58.08
2011-12-22,68.14
2011-12-23,54.23
2011-12-24,76.03
2011-12-25,112.0
2011-12-26,93.32
2011-12-27,71.38
2011-12-28,64.33
2011-12-29,73.87
2011-12-30,76.93
2011-12-31,89.73
2012-01-01,108.94
2012-01-02,81.25
2012-01-03,85.43
2012-01-04,43.68
2012-01-05,89.26
2012-01-06,97.28
2012-01-07,110.41
2012-01-08,125.9
2012-01-09,126.06
2012-01-10,99.67
2012-01-11,46.75
2012-01-12,59.76
2012-01-13,85.94
2012-01-14,112.06
2012-01-15,124.02
2012-01-16,95.26
2012-01-17,92.31
2012-01-18,68.07
2012-01-19,74.79
2012-01-20,79.21
2012-01-21,102.8
2012-01-22,100.93
2012-01-23,96.44
2012-01-24,110.21
2012-01-25,70.03
2012-01-26,128.29
2012-01-27,112.52
2012-01-28,124.2
2012-01-29,113.07
2012-01-30,126.29
2012-01-31,90.45
2012-02-01,90.74
2012-02-02,131.81
2012-02-03,108.24
2012-02-04,143.18
2012-02-05,119.88
2012-02-06,119.69
2012-02-07,130.03
2012-02-08,83.84
2012-02-09,124.89
2012-02-10,124.54
2012-02-11,121.7
2012-02-12,144.06
2012-02-13,138.9
2012-02-14,116.84
2012-02-15,73.68
2012-02-16,90.73
2012-02-17,114.09
2012-02-18,132.84
2012-02-19,147.65
2012-02-20,130.68
2012-02-21,91.13
2012-02-22,106.52
2012-02-23,114.32
2012-02-24,129.66
2012-02-25,153.57
2012-02-26,154.17
2012-02-27,138.17
2012-02-28,113.3
2012-02-29,79.04
2012-03-01,114.67
2012-03-02,127.37
2012-03-03,144.35
2012-03-04,125.37
2012-03-05,117.85
2012-03-06,132.86
2012-03-07,106.0
2012-03-08,121.01
2012-03-09,127.17
2012-03-10,143.14
2012-03-11,160.93
2012-03-12,128.59
2012-03-13,120.7
2012-03-14,101.77
2012-03-15,106.3
2012-03-16,124.07
2012-03-17,147.91
2012-03-18,141.48
2012-03-19,156.89
2012-03-20,107.48
2012-03-21,107.46
2012-03-22,107.7
2012-03-23,151.81
2012-03-24,148.84
2012-03-25,165.37
2012-03-26,116.92
2012-03-27,125.97
2012-03-28,124.6
2012-03-29,116.44
2012-03-30,146.91
2012-03-31,138.88
2012-04-01,171.7
2012-04-02,174.27
2012-04-03,117.02
2012-04-04,104.98
2012-04-05,137.34
2012-04-06,154.87
2012-04-07,138.96
2012-04-08,144.33
2012-04-09,135.55
2012-04-10,102.21
2012-04-11,97.72
2012-04-12,100.23
2012-04-13,119.33
2012-04-14,145.87
2012-04-15,153.65
2012-04-16,162.46
2012-04-17,106.74
2012-04-18,125.52
2012-04-19,111.26
2012-04-20,129.2
2012-04-21,155.53
2012-04-22,132.24
2012-04-23,143.8
2012-04-24,123.0
2012-04-25,116.85
2012-04-26,117.43
2012-04-27,165.32
2012-04-28,134.31
2012-04-29,139.51
2012-04-30,127.04
2012-05-01,110.42
2012-05-02,98.07
2012-05-03,129.03
2012-05-04,147.83
2012-05-05,133.27
2012-05-06,132.88
2012-05-07,141.27
2012-05-08,108.21
2012-05-09,114.8
2012-05-10,111.84
2012-05-11,101.32
2012-05-12,162.51
2012-05-13,169.7
2012-05-14,122.34
2012-05-15,107.95
2012-05-16,106.81
2012-05-17,110.96
2012-05-18,131.02
2012-05-19,166.48
2012-05-20,137.08
2012-05-21,116.47
2012-05-22,89.92
2012-05-23,88.35
2012-05-24,102.19
2012-05-25,144.74
2012-05-26,125.19
2012-05-27,139.67
2012-05-28,124.72
2012-05-29,124.92
2012-05-30,133.64
2012-05-31,91.1
2012-06-01,106.82
2012-06-02,144.91
2012-06-03,142.78
2012-06-04,148.87
2012-06-05,112.01
2012-06-06,86.47
2012-06-07,104.01
2012-06-08,126.83
2012-06-09,137.56
2012-06-10,136.14
2012-06-11,133.11
2012-06-12,116.7
2012-06-13,108.47
2012-06-14,100.72
2012-06-15,103.51
2012-06-16,123.24
2012-06-17,142.39
2012-06-18,100.59
2012-06-19,100.4
2012-06-20,77.53
2012-06-21,87.09
2012-06-22,120.85
2012-06-23,119.54
2012-06-24,120.6
2012-06-25,88.06
2012-06-26,101.66
2012-06-27,88.69
2012-06-28,114.68
2012-06-29,92.61
2012-06-30,115.52
2012-07-01,119.19
2012-07-02,127.65
2012-07-03,84.57
2012-07-04,78.73
2012-07-05,86.88
2012-07-06,95.56
2012-07-07,101.07
2012-07-08,113.9
2012-07-09,115.64
2012-07-10,66.15
2012-07-11,72.09
2012-07-12,62.83
2012-07-13,106.27
2012-07-14,80.51
2012-07-15,98.21
2012-07-16,100.81
2012-07-17,100.67
2012-07-18,64.77
2012-07-19,60.68
2012-07-20,112.25
2012-07-21,77.35
2012-07-22,69.35
2012-07-23,97.52
2012-07-24,65.44
2012-07-25,46.25
2012-07-26,75.47
2012-07-27,83.57
2012-07-28,86.51
2012-07-29,79.07
2012-07-30,99.98
2012-07-31,78.73
2012-08-01,56.12
2012-08-02,88.63
2012-08-03,59.98
2012-08-04,68.25
2012-08-05,84.1
2012-08-06,82.45
2012-08-07,68.92
2012-08-08,50.33
2012-08-09,62.59
2012-08-10,53.69
2012-08-11,109.27
2012-08-12,89.77
2012-08-13,96.47
2012-08-14,67.04
2012-08-15,57.48
2012-08-16,62.6
2012-08-17,75.97
2012-08-18,94.1
2012-08-19,107.85
2012-08-20,79.63
2012-08-21,69.56
2012-08-22,46.37
2012-08-23,72.8
2012-08-24,56.32
2012-08-25,108.75
2012-08-26,84.64
2012-08-27,52.62
2012-08-28,58.32
2012-08-29,35.04
2012-08-30,61.41
2012-08-31,54.34
2012-09-01,72.79
2012-09-02,54.71
2012-09-03,65.18
2012-09-04,17.99
2012-09-05,19.52
2012-09-06,58.31
2012-09-07,74.09
2012-09-08,84.11
2012-09-09,66.87
2012-09-10,69.65
2012-09-11,52.77
2012-09-12,24.45
2012-09-13,68.08
2012-09-14,74.17
2012-09-15,73.19
2012-09-16,80.64
2012-09-17,72.43
2012-09-18,21.22
2012-09-19,37.22
2012-09-20,34.48
2012-09-21,45.25
2012-09-22,71.63
2012-09-23,106.63
2012-09-24,78.42
2012-09-25,42.86
2012-09-26,49.18
2012-09-27,65.45
2012-09-28,73.97
2012-09-29,76.66
2012-09-30,69.96
2012-10-01,79.36
2012-10-02,57.49
2012-10-03,54.27
2012-10-04,54.31
2012-10-05,76.26
2012-10-06,68.23
2012-10-07,100.0
2012-10-08,72.51
2012-10-09,83.46
2012-10-10,31.33
2012-10-11,71.73
2012-10-12,64.48
2012-10-13,67.56
2012-10-14,74.14
2012-10-15,65.98
2012-10-16,60.02
2012-10-17,50.91
2012-10-18,38.57
2012-10-19,62.7
2012-10-20,111.11
2012-10-21,109.03
2012-10-22,79.13
2012-10-23,56.1
2012-10-24,46.82
2012-10-25,58.41
2012-10-26,49.84
2012-10-27,77.3
2012-10-28,60.35
2012-10-29,80.91
2012-10-30,67.65
2012-10-31,40.27
2012-11-01,75.38
2012-11-02,49.43
2012-11-03,61.91
2012-11-04,91.53
2012-11-05,93.49
2012-11-06,86.13
2012-11-07,43.62
2012-11-08,71.02
2012-11-09,70.37
2012-11-10,84.48
2012-11-11,104.68
2012-11-12,90.89
2012-11-13,40.62
2012-11-14,76.11
2012-11-15,79.06
2012-11-16,65.15
2012-11-17,96.65
2012-11-18,102.54
2012-11-19,88.78
2012-11-20,59.83
2012-11-21,47.77
2012-11-22,61.91
2012-11-23,96.11
2012-11-24,102.91
2012-11-25,93.67
2012-11-26,100.6
2012-11-27,29.56
2012-11-28,79.32
2012-11-29,40.49
2012-11-30,77.43
2012-12-01,82.35
2012-12-02,84.24
2012-12-03,110.91
2012-12-04,69.79
2012-12-05,71.85
2012-12-06,70.48
2012-12-07,94.66
2012-12-08,104.97
2012-12-09,89.13
2012-12-10,113.19
2012-12-11,74.18
2012-12-12,48.11
2012-12-13,69.61
2012-12-14,114.88
2012-12-15,121.47
2012-12-16,108.07
2012-12-17,97.95
2012-12-18,81.73
2012-12-19,107.61
2012-12-20,86.77
2012-12-21,103.86
2012-12-22,129.23
2012-12-23,121.95
2012-12-24,104.39
2012-12-25,88.71
2012-12-26,80.5
2012-12-27,85.61
2012-12-28,113.46
2012-12-29,119.7
2012-12-30,134.51
2012-12-31,112.23
2013-01-01,98.0
2013-01-02,56.77
2013-01-03,105.08
2013-01-04,112.91
2013-01-05,139.06
2013-01-06,85.24
2013-01-07,149.92
2013-01-08,99.88
2013-01-09,108.51
2013-01-10,80.88
2013-01-11,122.03
2013-01-12,113.4
2013-01-13,124.43
2013-01-14,152.4
2013-01-15,104.19
2013-01-16,100.2
2013-01-17,114.56
2013-01-18,125.29
2013-01-19,136.45
2013-01-20,144.24
2013-01-21,164.69
2013-01-22,111.11
2013-01-23,104.86
2013-01-24,122.14
2013-01-25,139.28
2013-01-26,156.81
2013-01-27,153.12
2013-01-28,116.24
2013-01-29,141.18
2013-01-30,89.32
2013-01-31,115.56
2013-02-01,115.98
2013-02-02,142.61
2013-02-03,152.99
2013-02-04,142.68
2013-02-05,127.44
2013-02-06,135.11
2013-02-07,122.17
2013-02-08,127.93
2013-02-09,162.28
2013-02-10,170.1
2013-02-11,123.59
2013-02-12,134.17
2013-02-13,125.46
2013-02-14,114.89
2013-02-15,156.16
2013-02-16,149.44
2013-02-17,157.96
2013-02-18,143.17
2013-02-19,129.15
2013-02-20,102.15
2013-02-21,101.34
2013-02-22,162.97
2013-02-23,142.45
2013-02-24,144.6
2013-02-25,116.8
2013-02-26,122.6
2013-02-27,101.94
2013-02-28,150.7
2013-03-01,157.26
2013-03-02,147.82
2013-03-03,196.18
2013-03-04,166.68
2013-03-05,130.09
2013-03-06,87.01
2013-03-07,163.07
2013-03-08,123.83
2013-03-09,135.96
2013-03-10,180.15
2013-03-11,190.89
2013-03-12,157.99
2013-03-13,135.15
2013-03-14,139.74
2013-03-15,159.51
2013-03-16,173.98
2013-03-17,170.91
2013-03-18,157.65
2013-03-19,138.01
2013-03-20,117.02
2013-03-21,128.17
2013-03-22,122.8
2013-03-23,162.52
2013-03-24,153.18
2013-03-25,140.77
2013-03-26,142.8
2013-03-27,150.28
2013-03-28,147.14
2013-03-29,125.54
2013-03-30,149.97
2013-03-31,182.86
2013-04-01,143.25
2013-04-02,137.31
2013-04-03,138.15
2013-04-04,119.26
2013-04-05,151.01
2013-04-06,145.05
2013-04-07,159.89
2013-04-08,162.87
2013-04-09,116.78
2013-04-10,136.42
2013-04-11,133.32
2013-04-12,157.47
2013-04-13,168.09
2013-04-14,188.96
2013-04-15,159.45
2013-04-16,133.66
2013-04-17,130.99
2013-04-18,141.02
2013-04-19,149.09
2013-04-20,164.44
2013-04-21,156.99
2013-04-22,146.57
2013-04-23,117.92
2013-04-24,154.18
2013-04-25,112.92
2013-04-26,136.59
2013-04-27,151.61
2013-04-28,179.42
2013-04-29,150.49
2013-04-30,156.0
2013-05-01,116.08
2013-05-02,133.94
2013-05-03,132.55
2013-05-04,192.59
2013-05-05,146.13
2013-05-06,157.44
2013-05-07,144.6
2013-05-08,130.13
2013-05-09,124.64
2013-05-10,140.74
2013-05-11,158.6
2013-05-12,159.21
2013-05-13,164.65
2013-05-14,165.59
2013-05-15,112.83
2013-05-16,104.09
2013-05-17,138.51
2013-05-18,193.73
2013-05-19,146.39
2013-05-20,171.75
2013-05-21,154.51
2013-05-22,109.74
2013-05-23,129.96
2013-05-24,161.0
2013-05-25,146.03
2013-05-26,152.02
2013-05-27,135.02
2013-05-28,110.65
2013-05-29,104.78
2013-05-30,99.5
2013-05-31,133.47
2013-06-01,136.5
2013-06-02,154.87
2013-06-03,116.65
2013-06-04,127.03
2013-06-05,123.19
2013-06-06,84.07
2013-06-07,134.65
2013-06-08,162.51
2013-06-09,129.22
2013-06-10,161.05
2013-06-11,124.29
2013-06-12,96.02
2013-06-13,109.01
2013-06-14,133.26
2013-06-15,141.05
2013-06-16,151.24
2013-06-17,117.91
2013-06-18,116.29
2013-06-19,81.1
2013-06-20,103.87
2013-06-21,106.99
2013-06-22,124.53
2013-06-23,157.33
2013-06-24,143.71
